zipcode,taxable_income_amount,avg_taxable_income
98001,624342,50.92512235
98002,373118,31.97240788
98003,628958,40.1633461
98004,3334022,226.9586113
98005,1007152,122.6738124
98006,2190733,138.8297212
98007,759714,73.11973051
98008,1022720,99.68031189
98010,161295,72.9841629
98011,706160,71.18548387
98014,241601,84.7722807
98019,366229,79.78845316
98022,471943,55.52270588
98023,924485,50.60125889
98024,206967,101.4544118
98027,1214908,100.4886683
98028,688333,76.22735327
98029,1125885,107.4317748
98030,475244,39.21155116
98031,675339,44.87302326
98032,542554,42.75445232
98033,2300656,140.2839024
98034,1605200,74.90433971
98038,943236,73.74792807
98039,684307,543.1007937
98040,2647045,250.1932892
98042,1076384,59.0122807
98045,464846,75.83132137
98052,2928229,111.1282353
98053,1287731,155.5230676
98055,428545,46.08010753
98056,889982,62.98527955
98058,990619,57.09619597
98059,1128864,76.63706721
98065,562599,105.355618
98070,320896,76.58615752
98072,1074796,103.544894
98074,1594566,156.0240705
98075,1395993,165.4020142
98077,809859,155.4431862
98092,941205,57.671875
98102,1242039,85.30487637
98103,1904388,75.511023
98105,1361397,108.2191574
98106,423605,42.10785288
98107,881219,67.16608232
98108,396333,43.93935698
98109,1397936,99.35579247
98112,2123444,197.3460967
98115,2025368,90.49901698
98116,1059549,86.84827869
98117,1277640,82.05780347
98118,892061,50.62775255
98119,1143046,101.8757576
98122,1199747,70.73979953
98125,943159,56.44278875
98126,576835,62.49566631
98133,919953,45.92875686
98136,676300,90.17333333
98144,882866,70.85601926
98146,514357,49.5526975
98148,152204,38.43535354
98155,946434,64.69131921
98166,626867,70.35544332
98168,432762,33.03526718
98177,967539,109.822815
98178,404177,42.27792887
98188,339209,35.59380902
98198,615572,43.62664777
98199,1180060,120.0467955
